TIME,ALTITUDE,QC,PS,TAT,SAT,MACH,CAS,Throttle Angle,N1,Mag Hdg,PITCH,ROLL,Aileron Pilot Force,Elevator Stick Force,Rudder Force,Boom AoA,Boom AoSS,Rudder Position,STAB Position,Elevator Position,Aileron Position,Weight,Nx,Nz
SEC,FT,mBAR,INHG,DEGC,DEGC,,KTS,DEG,PCT,DEG,DEG,DEG,LBS,LBS,LBS,INOP,INOP,DEG,DEG,DEG,DEG,LB,G,G
5.4,17460,23.75,15.28,-7.75,-11.25,0.25354,120.44,50.36,87.692,62.7,18.37,-6.46,1.7,2.4,-0.2,7.61,-1.52,0.22,18.1,-7.84,-1.5,11394,0.317,0.543
5.5,17460,23.75,15.28,-7.75,-11.25,0.25354,120.44,50.36,87.692,62.7,18.37,-6.46,-0.4,-1.8,0.5,7.56,-1.45,0.39,18.11,-8.01,-1.5,11394,0.476,0.964
5.6,17467,23.5937,15.27,-7.75,-11.25,0.2531,120.25,50.36,87.371,62.601,18.34,-6.37,-1.2,-5.2,0.4,7.61,-1.49,0.42,18.1,-8.83,-1.6,11392,0.39,0.806
5.7,17467,23.5937,15.27,-7.75,-11.25,0.2531,120.25,50.36,87.371,62.601,18.34,-6.37,-1.2,-7.4,0.7,7.68,-1.42,0.45,18.11,-10.21,-1.6,11392,0.085,0.799
5.8,17477,23.5312,15.27,-8,-11.25,0.25248,119.87,50.36,87.05,62.513,18.15,-6.21,-1.5,-8.6,1.6,7.65,-1.47,0.45,18.1,-10.91,-1.6,11389,0.103,0.972
5.9,17477,23.5312,15.27,-8,-11.25,0.25248,119.87,50.36,87.05,62.513,18.15,-6.21,-2,-8.9,0.8,7.54,-1.44,0.42,18.1,-10.97,-1.7,11389,0.44,0.975
6,17484,23.375,15.26,-8,-11.25,0.25204,119.69,50.36,86.837,62.436,17.82,-6.03,-1.7,-9.6,-0.9,7.45,-1.39,0.42,18.1,-11.11,-1.9,11388,0.433,0.946
6.1,17484,23.375,15.26,-8,-11.25,0.25204,119.69,50.36,86.837,62.436,17.82,-6.03,-2.2,-9.8,-1.7,7.45,-1.45,0.42,18.11,-11.42,-1.9,11388,0.098,0.788
6.2,17492,23.2187,15.26,-8,-11.25,0.25136,119.31,50.12,86.627,62.354,17.39,-5.89,-1.9,-9.1,-1.1,7.22,-1.42,0.42,18.1,-11.54,-2,11387,0.4,0.85
6.3,17492,23.2187,15.26,-8,-11.25,0.25136,119.31,50.12,86.627,62.354,17.39,-5.89,-1.9,-9.4,-0.8,6.96,-1.4,0.42,18.1,-11.62,-2,11387,0.352,0.711
6.4,17499,23.1562,15.25,-8,-11.25,0.25067,118.94,46.79,86.475,62.271,16.83,-5.77,-2.3,-9.4,-2.3,6.9,-1.39,0.42,18.11,-11.85,-2,11387,0.516,0.944
6.5,17499,23.1562,15.25,-8,-11.25,0.25067,118.94,46.79,86.475,62.271,16.83,-5.77,-2,-9.2,-2.2,6.59,-1.17,0.45,18.1,-12.15,-2.1,11387,-0.127,0.861
6.6,17506,23,15.25,-8,-11.25,0.25029,118.75,41.9,85.861,62.172,16.2,-5.73,-1.9,-9.1,-2.9,6.37,-1.25,0.45,18.1,-12.3,-2.1,11384,0.42,0.693
